Name,Tag,Rank,Trophies,3v3Victories,SoloVictories,DuoVictories,BestBrawler,BestBrawlerType
Death night✨🤍,#2V29YRLYL,174,110909,9821,11571,6049,CORDELIUS,Assassin
━ Lausa :･✧,#PPLJ98U00,175,110893,16851,6752,3679,EMZ,Controller
oof,#888J9998L,176,110834,36736,13709,5280,PAM,Support
Nana Deviluke,#P2G82CR8,177,110848,55915,3845,1040,SHELLY,Damage Dealer
DaddyJanki🥵,#2LVYUQC9P,178,110831,39919,2382,7768,HANK,Tank
XP|Orpenonen,#2R0LL0CR,179,110844,75949,3589,20616,BO,Controller
EsċuJi1̶7̶,#9RQQVUJJ0,180,110776,10649,5555,7082,HANK,Tank
Nightt.↯,#80808UQGV,181,110775,30351,1227,5775,SHELLY,Damage Dealer
⛩| Nexor星,#2GR2VPVYG,182,110764,22882,2250,5662,SHELLY,Damage Dealer
Unstoppable ✞,#YPQCVLC8P,183,110753,16943,4143,4751,STU,Assassin
BG|H҉A҉Ç҉K҉E҉R҉,#YGC9JG928,184,110734,22320,1963,3896,TRUNK,Unknown
Lukas,#YLGJGPCGC,185,110724,15836,3459,3343,CORDELIUS,Assassin
PS|Elijah🍷,#9YYYV99UG,186,110713,31610,11547,2989,HANK,Tank
👾|Ꮭὗḋὄ ↻,#9VVG0UPJP,187,110657,36104,4707,3386,CROW,Assassin
Emilia🤍,#GVLC0GL89,188,110599,17461,4073,2243,MOE,Damage Dealer
美 | zelo 🦢,#9CUJP9RGR,189,110586,52175,8599,3067,CORDELIUS,Assassin
Alexus,#CYLYVQ0P,190,110583,31879,6881,5781,LEON,Assassin
ᴰᵃʳᵏ᭄ʟᴇɢᴇɴᴅ࿐🖤,#CVQJ8RPU,191,110522,17478,2866,9569,JACKY,Tank
K2|Yuna,#2U2RLU9CU,192,110491,27265,4088,2133,KIT,Support
鑼魔ᵏᶜᵖ🥀🧃,#UP0G8JQQ,193,110481,6753,3824,3060,CHESTER,Damage Dealer
valksxy𖤐,#RJQLL2RJ,194,110452,9057,5171,5457,CORDELIUS,Assassin
RNGesus,#UVQYY9GC,195,110448,11886,1911,6142,OTIS,Controller
Niklasをあかさたな👅,#P09QPV0C0,196,110435,13468,7218,6574,CORDELIUS,Assassin
Sházam代,#922RLYYC8,197,110405,19949,6078,1387,EVE,Damage Dealer
snowzz281,#2P028G0PG,198,110366,9964,9005,5588,LOLA,Damage Dealer
Mokö|Wave,#2LL8LLJQG,199,110361,72192,758,2204,MINA,Unknown
Kryokaa🎁,#20L0C9GCP,200,110359,49763,528,671,MELODIE,Assassin
