Name,Tag,Rank,ExpPoints,Trophies,3v3Victories,SoloVictories,DuoVictories,BestBrawler,BestBrawlerType
Unstoppable ✞,#YPQCVLC8P,125,440028,113766,16999,4286,4763,STU,Assassin
PANCHO🇲🇽,#2LUVPJVPU,126,1170016,113771,82068,3644,8103,R-T,Damage Dealer
npc011,#9V0GYC90Y,127,386311,113742,12949,5264,1524,R-T,Damage Dealer
BL|Érhan,#PUVRJQRQU,128,363691,113733,4914,6515,2073,SHELLY,Damage Dealer
felix 🧸,#PYQJ90LP8,129,441372,113749,15787,3464,2619,LILY,Assassin
Øekabøekaツ,#28YGJLQGL,130,624332,113735,33970,2036,10776,MINA,Unknown
Rain🌧,#8LUPY2PG0,131,544176,113664,32952,1397,1835,SHELLY,Damage Dealer
Darkside❦,#8U2UGVC0Y,132,421115,113640,13696,5758,3046,BULL,Tank
slicedbutter,#G2CRQRV82,133,310969,113532,16011,2458,1956,SURGE,Damage Dealer
kuolemantuho77,#9C9J2PP00,134,401214,113517,19712,2510,1124,PAM,Support
QA| DORII,#YY9LPYL29,135,452388,113499,14746,5902,2141,GALE,Controller
YT: elcioo🖤み,#2LCJLCVYG,136,216344,113493,17615,1022,1473,COLT,Damage Dealer
Art Of Hêøfxヤ,#P9RVQP2,137,289766,113487,10260,1656,5670,SHELLY,Damage Dealer
NLG|Verm,#2VRQQUVC,138,588971,113475,34212,1330,1542,MAX,Support
BL|Âhmett,#P88CLUV00,139,484073,113438,9543,5444,5586,MEG,Tank
⏳ | Ɽâȼ_𝟝 死,#P9JYVUP8U,140,397825,113368,23038,1891,2530,PAM,Support
Tamazo,#Q9PQ9VUV8,141,542036,113351,14863,2698,1088,BARLEY,Artillery
R͎ay 💞 Valeria,#2PUC9CU8Y,142,1023621,113349,70531,8868,3106,MORTIS,Assassin
Øffsxy💘,#20J09PGYU,143,1154739,113313,71925,4661,5339,BIBI,Tank
PAZ,#82LY8PPJP,144,725059,113300,46284,2754,1778,BYRON,Support
Kryokaa🎁,#20L0C9GCP,145,619051,113231,50089,553,671,GRIFF,Controller
Code: Physic 🦢,#VL0GPPJV,146,999600,113178,95010,906,1160,COLT,Damage Dealer
🎋|nice kill|🦊,#PVUGYG9P8,147,512892,113177,22021,4755,4613,SURGE,Damage Dealer
Xentampo816🍥,#2GYJY2QUC,148,519643,113156,31303,5126,1075,SHELLY,Damage Dealer
━ Lausa :･✧,#PPLJ98U00,149,501565,113120,16970,6847,3691,EMZ,Controller
どるふぃんみさき‎🤍,#PU2RQVU0,150,815889,113113,34362,4231,10830,GRIFF,Controller
LL|Shady🇨🇭,#YG8LL2YQU,151,277105,113103,18915,993,1389,CARL,Damage Dealer
🥀akashi🏀🇯🇵,#8RR9UPJQJ,152,210845,113093,5554,3604,2677,ROSA,Tank
XP|Orpenonen,#2R0LL0CR,153,1260490,113088,75960,3755,20616,BO,Controller
𝙰𝚎𝚛𝚒𝚘𝚗 🐉,#PLUGCUURP,154,698331,113067,12653,11087,6454,OLLIE,Assassin
🍀Mark🍀,#LYR0CQCG,155,774228,113024,28098,6790,7473,CORDELIUS,Assassin
Uoidsip💍Yラ,#8Y2YCLCGV,156,654901,113020,58069,2643,1756,MINA,Unknown
ʜɪᴋɪɢᴀʏᴀ❦,#U909PP92,157,340626,113017,22914,1572,1330,MANDY,Marksman
YoruKage,#2J9CPU9RY,158,521370,113003,18229,5123,3814,SHELLY,Damage Dealer
👾|Ꮭὗḋὄ ↻,#9VVG0UPJP,159,698593,113003,36202,4825,3386,CROW,Assassin
Kzm໒꒱·̩͙．,#Y99UQCV0V,160,423279,112997,17330,2661,8318,BUZZ,Assassin
TRB|KâBuS🇹🇷,#2C0CJ2QPC,161,711423,112956,43426,3649,4301,SHELLY,Damage Dealer
Brendannn🧸,#9J89UUC2L,162,808445,112916,53651,2740,1339,SAM,Assassin
Trevor,#2QYJQ2920,163,579965,112838,26836,4047,3599,FANG,Assassin
SOAR | PBJ,#8CLGP9GRL,164,398584,112815,22947,2240,2353,CROW,Assassin
DaddyJanki🥵,#2LVYUQC9P,165,723454,112573,39990,2458,7772,HANK,Tank
MF|alaprochaine,#P20P0JQGJ,166,261479,112537,20036,1071,2518,NANI,Marksman
매료,#8VCPGU08L,167,1003437,112521,29948,6376,15178,PAM,Support
ᴸᴬᴄͪˢɪ ×̷̷͜×̷,#YL2L9UQC,168,755231,112501,37775,7365,6832,BULL,Tank
Jwesty💞,#RP298RL,169,673672,112490,31897,3790,5349,EMZ,Controller
頹┊𝕐𝕒𝕟𝕘⚡︎,#202QLCPYR,170,697699,112484,27772,5287,4996,LILY,Assassin
〆ζ͜͡α∂є͜͡м'🖤,#PLPPPLLQJ,171,487062,112380,17901,5204,3720,BYRON,Support
💩RANDOMS=QUIT,#20J2Q0JRC,172,547805,112355,12007,8620,2728,EL PRIMO,Tank
🎭𝒟𝑒𝒶𝓉𝒽🎭,#GC8J2R9GC,173,324794,112348,9337,4624,3052,SHELLY,Damage Dealer
♜King🤴🏻Luis♜,#2VURG0V9J,174,1514743,112324,90915,5483,16797,NANI,Marksman
Paul💤,#V2G8Y9PU,175,443540,112271,20029,1567,8894,GRAY,Support
Marcelina💞,#8RY229P82,176,415916,112257,25547,1916,1169,EMZ,Controller
ItzKxrzy?🧊,#8UYCRQ9PJ,177,306339,112244,20849,1243,553,R-T,Damage Dealer
ARM|Sun💛Piper,#P0P9GYYRC,178,504129,112221,18360,4113,6282,DOUG,Support
❄|_MaX_|❄,#9UQGV2J2P,179,510893,112184,8907,3348,13138,SHELLY,Damage Dealer
Alexus,#CYLYVQ0P,180,764806,112127,32030,6926,5781,LEON,Assassin
鑼魔ᵏᶜᵖ🥀🧃,#UP0G8JQQ,181,317885,112109,6765,3897,3061,CHESTER,Damage Dealer
Nexo,#99PVPC2YG,182,455422,112104,25823,2280,6556,NANI,Marksman
Cursed🔮,#9GVY2CUG,183,697377,112093,30607,6230,2997,FANG,Assassin
Mago🀄️,#LYJU2UCG8,184,373487,112092,20398,5002,1373,PIPER,Marksman
BG☆Timide,#8QU99UP9,185,902147,112080,43064,2794,12884,WILLOW,Controller
Yurielle유리,#8Q92GPYV9,186,479932,112084,27799,2802,2937,CORDELIUS,Assassin
🌟Itz Dark🌟,#9C2VR29L8,187,428064,112062,21636,3089,3569,LOLA,Damage Dealer
Niklasをあかさたな👅,#P09QPV0C0,188,556202,112044,13509,7319,6582,CORDELIUS,Assassin
Mega Kok. s,#2YL2QV2CR,189,874398,112028,24980,16146,12301,DOUG,Support
Rantao❤️‍🔥,#998JUPCY0,190,422686,112018,21940,3311,2385,JUJU,Artillery
fluzzi,#20LJL2J00,191,442443,112016,17447,2414,4776,BUSTER,Tank
EF|Faith🎀,#P2U29C0J9,192,579153,112011,28616,4082,2512,SHELLY,Damage Dealer
Leo,#88P2L0CG,193,482785,112007,27267,2809,3744,MOE,Damage Dealer
AkukuMan!,#8PCUCC09L,194,630714,112013,16227,5042,12428,ANGELO,Marksman
Sházam代,#922RLYYC8,195,546958,111926,19954,6191,1387,EVE,Damage Dealer
miniwilliam_2.0,#8UL22V22,196,359049,111902,13967,4411,2973,EMZ,Controller
Sayrex,#20VQYGC9Y,197,544020,111901,18723,5547,5218,HANK,Tank
3868208,#L9Q8G2RG,198,355104,111825,18155,2734,2328,SHELLY,Damage Dealer
𝔚𝔄𝔇𝔄🫧🐣,#LQ8UV9GR0,199,495886,111805,25849,2427,4838,GRIFF,Controller
Лега Вася 753,#G008VJRQG,200,363598,111787,24325,3449,2696,PAM,Support
